het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
8D1,[H]/N=C(/c1c(nn(n1)c2cccc(c2)C)N)\NCc3ccccc3OC,[H]/N=C(\NCc1ccccc1OC)c1nn(-c2cccc(C)c2)nc1N,7.4,5,3.03;3.40;4.53;7.30;8.41,,pkasolver
8E2,CC(C)(C)OC(=O)COCCOCCOCCOCCNC(=O)COc1ccc(cc1)N2CCN(CC2)CCn3c4c(cn3)c5nc(nn5c(n4)N)c6ccco6,CC(C)(C)OC(=O)COCCOCCOCCOCC[NH2+]C(=O)COc1ccc(N2CC[NH+](CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,7.4,8,5.20;5.29;5.42;6.51;7.53;8.27;8.66;8.83,,pkasolver
8IM,[B-]1(n2c(cc(c2C(=C3[N+]1=C(C=C3C)C)CCCCCNC(=O)COCCOCCOCCOCCNC(=O)COc4ccc(cc4)N5CCN(CC5)CCn6c7c(cn6)c8nc(nn8c(n7)N)c9ccco9)C)C)(F)F,CC1=CC(C)=[N+]2C1=C(CCCCC[N-]C(=O)COCCOCCOCCOCC[N-]C(=O)COc1ccc(N3CCN(CCn4ncc5c4nc([NH-])n4nc(-c6ccco6)nc54)CC3)cc1)c1c(C)cc(C)n1[B-]2(F)F,7.4,11,4.40;4.48;4.62;4.73;5.37;5.98;6.46;6.52;6.71;6.85;6.86,,pkasolver
8JN,CCCCN1C(=O)c2c(nc([nH]2)C34C[C@@H]5C[C@H](C3)CC4C5)N(C1=O)/C=C/CO,CCCCn1c(=O)c2[nH]c(C34C[C@@H]5CC3C[C@@H](C5)C4)nc2n(/C=C/CO)c1=O,7.4,4,5.46;6.62;9.20;9.51,,pkasolver
8ZX,COc1ccc(cc1)C(=O)N,COc1ccc(C(N)=O)cc1,7.4,2,4.80;9.06,,pkasolver
9XT,Cc1cc(ccc1N)Cn2c3c(c(nc(n3)N)c4ccco4)nn2,Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,7.4,7,2.94;3.35;3.76;5.05;5.76;8.31;8.94,,pkasolver
9XW,CC1(CCN(CC1)C(=O)Nc2nc3c(ccc(c3s2)N4CCOCC4)OC)O,COc1ccc(N2CCOCC2)c2sc(NC(=O)[NH+]3CCC(C)(O)CC3)nc12,7.4,6,3.93;5.10;5.28;5.40;8.65;9.06,,pkasolver
A1BL1,CC(=O)Nc1ccc(cc1)C(F)(F)F,CC(=O)Nc1ccc(C(F)(F)F)cc1,7.4,2,4.56;10.40,,pkasolver
A1C5S,CCn1cc(cn1)N2C[C@@H](CC[C@@H]2C)c3nc4c5cccc(c5nc(n4n3)N)OC,CCn1cc(N2C[C@H](c3nc4c5cccc(OC)c5nc(N)n4n3)CC[C@@H]2C)cn1,7.4,6,4.21;4.30;4.55;5.78;6.69;8.66,,pkasolver
A1CO0,CC(=O)Nc1ccc(cc1N)C(F)(F)F,CC(=O)Nc1ccc(C(F)(F)F)cc1N,7.4,4,3.23;5.12;9.75;10.60,,pkasolver
