het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
I74,CC(C)c1cnn2c1nc(cc2NCc3ccccc3)NC[C@H]4CCNC[C@@H]4O,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@H]3CC[NH2+]C[C@@H]3O)nc12,7.4,8,3.84;4.90;5.89;6.17;9.17;9.73;9.87;9.93,pkasolver
JWS,COc1ccc(c(c1)c2nc(nc(n2)N)N)O,COc1ccc(O)c(-c2nc(N)nc(N)n2)c1,7.4,6,3.94;5.09;5.18;7.84;8.12;8.95,pkasolver
LS5,c1ccc2c(c1)/C(=C/Nc3ccc(cc3)S(=O)(=O)NC(=N)N)/C(=O)N2,NC(=[NH2+])NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,7.4,3,4.28;4.84;9.59,pkasolver
MGF,F[Mg-](F)F,[F][Mg-]([F])[F],7.4,0,,pkasolver:no_ionizable
MTW,c1cc(cc(c1)C2=N/C(=N\c3cccc(c3)[N+](=O)[O-])/N=CC2)Cn4cncn4,O=[N+]([O-])c1cccc(/N=C2/N=CCC(c3cccc(Cn4cncn4)c3)=N2)c1,7.4,3,4.20;4.26;6.89,pkasolver
PYZ,c1c(cn[nH]1)I,Ic1cn[nH]c1,7.4,3,2.49;3.29;9.60,pkasolver
WHL,CC(=O)Nc1ccc(cc1)NC(=O)C,CC(=O)Nc1ccc(NC(C)=O)cc1,7.4,4,4.79;5.12;10.89;11.11,pkasolver
X64,c1ccc(c(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N)[N+](=O)[O-],Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C(=O)c1ccccc1[N+](=O)[O-],7.4,3,3.64;5.41;9.43,pkasolver
02Z,c1ccc(cc1)Nc2nc(c(s2)C(=O)N)N,NC(=O)c1sc(Nc2ccccc2)nc1N,7.4,7,3.08;3.44;4.40;6.45;9.38;9.41;10.53,pkasolver
03K,c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3,NC(=O)c1ccc(C(=O)Nc2cc(C3CC3)[nH]n2)cc1,7.4,6,3.64;3.67;5.25;8.34;9.09;10.27,pkasolver
03Z,c1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C(=O)c1ccccc1,7.4,3,3.67;5.90;10.12,pkasolver
04Z,COc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,COc1cccc(C(=O)c2sc(Nc3ccc(S(N)(=O)=O)cc3)nc2N)c1,7.4,6,3.26;3.71;7.35;9.23;9.45;9.88,pkasolver
06Z,c1ccc(cc1)C(=O)c2c(nc(s2)Nc3cccc(c3)F)N,Nc1nc(Nc2cccc(F)c2)sc1C(=O)c1ccccc1,7.4,5,3.10;3.71;4.56;8.92;9.44,pkasolver
07Z,c1cc(cnc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)C(=O)O)N,[NH-]c1nc([N-]c2ccc(C(=O)[O-])cc2)sc1C(=O)c1cccnc1,7.4,7,2.45;3.12;3.49;3.87;4.47;4.97;6.93,pkasolver
08Z,c1cc(cnc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)C(=O)N)N,NC(=O)c1ccc(Nc2nc(N)c(C(=O)c3cccnc3)s2)cc1,7.4,8,2.71;3.20;3.26;3.97;5.87;8.48;8.66;9.51,pkasolver
09K,c1cc(ccc1CC(=O)Nc2cc(n[nH]2)C3CC3)OC(F)(F)F,O=C(Cc1ccc(OC(F)(F)F)cc1)Nc1cc(C2CC2)n[nH]1,7.4,4,4.15;4.84;9.43;9.80,pkasolver
09Z,CC(C)Nc1nc(c(s1)C(=O)c2cccnc2)N,CC(C)Nc1nc(N)c(C(=O)c2cccnc2)s1,7.4,4,3.20;3.69;5.85;8.55,pkasolver
0BX,c1ccc(cc1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O,O=C([O-])c1ccc(Nc2nccc([N-]c3ccccc3)n2)cc1,7.4,7,2.88;3.59;3.71;4.72;5.50;5.73;7.42,pkasolver
0BY,c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)Cl,O=C([O-])c1ccc([N-]c2nccc([N-]c3ccccc3Cl)n2)cc1,7.4,7,2.86;3.59;3.63;4.37;5.11;5.19;7.20,pkasolver
0S0,c1cc(ccc1/N=N/C2=CC=C(NC2=O)O)S(=O)(=O)N,NS(=O)(=O)c1ccc(/N=N/c2ccc(O)[nH]c2=O)cc1,7.4,5,4.18;6.50;8.18;9.32;9.63,pkasolver
106,c1cc(ccc1NN=C2c3cc(ccc3NC2=O)Br)S(=O)(=O)N,NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(Br)cc32)cc1,7.4,6,6.42;6.47;6.73;8.77;9.66;10.62,pkasolver
107,c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)NCC3=C4c5c(ncs5)C=CC4=NC3=O,O=C1N=c2ccc3ncsc3c2=C1CNc1ccc(S(=O)(=O)[N-]c2ccccn2)cc1,7.4,6,3.87;4.88;6.31;6.49;7.24;9.17,pkasolver
10K,c1cc(sc1)c2ccc(cc2)CC(=O)Nc3cc(n[nH]3)C4CC4,O=C(Cc1ccc(-c2cccs2)cc1)Nc1cc(C2CC2)n[nH]1,7.4,4,4.17;4.89;9.72;10.08,pkasolver
11K,c1cc(ccc1CC(=O)Nc2cc([nH]n2)C3CC3)OCCN4CCCC4,O=C(Cc1ccc(OCC[NH+]2CCCC2)cc1)Nc1cc(C2CC2)[nH]n1,7.4,5,4.72;6.42;8.71;10.41;10.60,pkasolver
12Z,c1cc(cnc1)C(=O)c2c(nc(s2)NC3CCCCC3)N,Nc1nc(NC2CCCCC2)sc1C(=O)c1cccnc1,7.4,4,3.38;3.80;5.93;8.79,pkasolver
16K,Cc1c(sc(n1)C)c2ccnc(n2)Nc3cccc(c3)[N+](=O)[O-],Cc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,7.4,4,3.18;3.86;4.20;8.04,pkasolver
18K,Cc1c(sc(n1)N)c2ccnc(n2)Nc3ccc(cc3)N(C)C,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N(C)C)cc2)n1,7.4,7,3.02;3.77;5.08;6.18;6.23;8.96;9.58,pkasolver
18Z,c1c(c(cc(c1[N+](=O)[O-])NCCN2CCNCC2)NCc3cnc(nc3)N)C(=O)N,NC(=O)c1cc([N+](=O)[O-])c(NCCN2CC[NH2+]CC2)cc1NCc1cnc(N)nc1,7.4,10,3.48;4.25;4.94;6.49;7.18;7.82;8.18;8.65;9.16;9.63,pkasolver
19K,Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(c(c3)[N+](=O)[O-])N(C)C,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c([N+](=O)[O-])c3)n2)s1,7.4,5,3.08;3.88;4.61;5.39;8.66,pkasolver
19Z,c1cc(ccc1CNc2ccc(cc2C(=O)N)[N+](=O)[O-])O,NC(=O)c1cc([N+](=O)[O-])ccc1NCc1ccc(O)cc1,7.4,5,4.02;6.41;8.45;8.85;10.00,pkasolver
1CD,C[C@@H]1C[C@H]2C[N@]1CCN3C(=O)c4cccc(c4N3)C5=Nc6c(cccc6O2)NC5=O,C[C@@H]1C[C@H]2C[N@@H+]1CCn1[nH]c3c(cccc3c1=O)-c1nc3c(cccc3[nH]c1=O)O2,7.4,6,5.42;5.87;6.23;7.94;9.10;9.87,pkasolver
1CK,Cc1cc(n[nH]1)NC(=O)c2ccc(cc2)Br,Cc1cc(NC(=O)c2ccc(Br)cc2)n[nH]1,7.4,4,3.12;4.10;8.63;10.41,pkasolver
1N3,COc1ccc(cc1)c2[nH]c3c(n2)c(c(cn3)Br)NCCCNC(=O)C4(CC4)CN,COc1ccc(-c2nc3c(NCCCNC(=O)C4(C[NH3+])CC4)c(Br)cnc3[nH]2)cc1,7.4,8,4.08;5.41;5.73;5.77;8.72;9.11;9.60;10.28,pkasolver
1P8,c1cc2c(cc1Br)NC(=O)C2,O=C1Cc2ccc(Br)cc2N1,7.4,2,5.68;11.06,pkasolver
1Y6,c1cc(ccc1C(=O)O)F,O=C([O-])c1ccc(F)cc1,7.4,1,3.97,pkasolver
1YG,C[C@@H](c1ccccc1)C(=O)Nc2ncc(s2)SCc3ncc(o3)C(C)(C)C,C[C@H](C(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1)c1ccccc1,7.4,4,3.65;4.37;6.17;8.53,pkasolver
207,c1c2c(c(nc1N)OCC3CCCCC3)nc[nH]2,Nc1cc2[nH]cnc2c(OCC2CCCCC2)n1,7.4,6,3.45;3.94;4.81;5.78;9.71;10.17,pkasolver
20K,Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(c(c3)Cl)N(C)C,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c(Cl)c3)n2)s1,7.4,5,2.96;3.93;4.80;5.91;8.88,pkasolver
20Z,c1ccc2cc(ccc2c1)C(=O)c3c(nc(s3)Nc4ccc(cc4)S(=O)(=O)N)N,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C(=O)c1ccc2ccccc2c1,7.4,3,3.67;5.82;10.02,pkasolver
21Z,c1ccc(cc1)C(=O)c2c(nc(s2)Nc3cccc(c3)S(=O)(=O)N)N,Nc1nc(Nc2cccc(S(N)(=O)=O)c2)sc1C(=O)c1ccccc1,7.4,3,3.67;5.79;10.00,pkasolver
22Z,CCCCCCNc1cc(c(cc1[N+](=O)[O-])C(=O)N)NCc2cccnc2,CCCCCCNc1cc(NCc2cccnc2)c(C(N)=O)cc1[N+](=O)[O-],7.4,7,3.35;4.31;5.70;7.04;9.06;9.61;10.06,pkasolver
23D,CCn1cnc2c1nc(nc2Nc3cccc(c3)Cl)N[C@@H]4CCCC[C@H]4N,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@H]3[NH3+])nc21,7.4,6,4.15;4.19;5.21;6.34;8.40;9.13,pkasolver
24Z,c1cc(cnc1)CNc2cc(c(cc2C(=O)N)[N+](=O)[O-])NCCCC(=O)O,NC(=O)c1cc([N+](=O)[O-])c(NCCCC(=O)[O-])cc1NCc1cccnc1,7.4,8,3.24;3.89;4.61;5.94;7.09;8.86;9.62;10.07,pkasolver
25Z,c1ccc(cc1)Nc2nc(c(s2)C(=O)c3cccc(c3)C(F)(F)F)N,Nc1nc(Nc2ccccc2)sc1C(=O)c1cccc(C(F)(F)F)c1,7.4,5,3.14;3.57;4.24;8.85;9.57,pkasolver
26D,c1cc(nc(c1)N)N,Nc1cccc(N)[nH+]1,7.4,4,2.76;3.99;7.55;11.92,pkasolver
26Z,c1cc(cc(c1)N)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,Nc1cccc(C(=O)c2sc(Nc3ccc(S(N)(=O)=O)cc3)nc2N)c1,7.4,5,4.34;5.16;6.32;9.84;10.22,pkasolver
27Z,c1cc(ccc1Nc2nc(c(s2)C(=O)N)N)S(=O)(=O)N,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C([NH3+])=O,7.4,8,3.08;3.55;7.06;7.65;9.60;9.73;9.75;10.46,pkasolver
292,c1ccc2cc(ccc2c1)CC(=O)Nc3cc(n[nH]3)C4CC4,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,7.4,4,4.20;4.93;9.95;10.34,pkasolver
2A6,c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,7.4,6,3.64;3.96;4.59;5.73;9.05;10.13,pkasolver
2BZ,Cc1c-2nc(c3cc(ccc3nc2nn1)[N+](=O)[O-])c4ccccc4Cl,Cc1nnc2nc3ccc([N+](=O)[O-])cc3c(-c3ccccc3Cl)nc1-2,7.4,3,3.21;3.26;3.93,pkasolver
2KD,COC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)c2cc(c3cc(ccc3n2)c4cccc(c4)Cl)C(=O)O,COC(=O)[C@H](Cc1ccc([O-])cc1)[N-]C(=O)c1cc(C(=O)[O-])c2cc(-c3cccc(Cl)c3)ccc2n1,7.4,5,3.79;4.53;5.18;6.61;7.10,pkasolver
2PU,c1cc2c(c(c1)NC(=O)Nc3cc([nH]n3)[C@@H]4CCCN4)[C@@H]5CCCN5C2=O,O=C(Nc1cc([C@@H]2CCC[NH2+]2)[nH]n1)Nc1cccc2c1[C@@H]1CCCN1C2=O,7.4,7,3.97;4.51;5.47;9.20;9.83;9.96;10.53,pkasolver
2SC,c1ccc(cc1)c2cc(n3c(n2)c(cn3)CO)NCc4cccnc4,OCc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,7.4,6,3.27;3.94;4.64;5.62;8.58;9.83,pkasolver
2WC,Cc1c(cccc1C(=O)O)c2[nH]c3c(n2)nc(nc3OCC4CCCCC4)N,Cc1c(C(=O)[O-])cccc1-c1nc2nc([NH-])nc(OCC3CCCCC3)c2[n-]1,7.4,7,3.19;3.84;5.27;5.42;5.53;5.81;6.84,pkasolver
371,Cc1cc2c(c(c1)N3CCCS3(=O)=O)OC(=C(C2=O)O)c4ccc(c(c4)O)O,Cc1cc(N2CCCS2(=O)=O)c2oc(-c3ccc([O-])c([O-])c3)c([O-])c(=O)c2c1,7.4,4,4.09;5.02;6.66;6.80,pkasolver
3FP,CN(C)C[C@H](COc1ccc(cc1)Nc2cc(ncn2)Nc3cc(ccc3F)C(F)(F)F)O,C[NH+](C)C[C@@H](O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1,7.4,7,3.55;4.46;5.42;8.65;8.85;9.30;9.93,pkasolver
3I3,CS(=O)(=O)c1cccc2c1[nH]cc2c3c(cnc(n3)N[C@H]4CCCNC4)C(F)(F)F,CS(=O)(=O)c1cccc2c(-c3nc(N[C@H]4CCC[NH2+]C4)ncc3C(F)(F)F)c[nH]c12,7.4,6,3.38;3.65;4.37;4.79;7.79;8.66,pkasolver
3I6,C[C@H](CO)Nc1c(cnc(n1)Nc2ccc(cc2)S(=O)(=O)N)Br,C[C@H](CO)[NH2+]c1nc(Nc2ccc(S(N)(=O)=O)cc2)ncc1Br,7.4,7,3.09;3.55;5.99;6.52;8.64;9.00;9.51,pkasolver
3QS,COC1CCN(CC1)c2nccc(n2)Nc3cc4c(ccn4C5CCCC5)cn3,COC1CCN(c2nccc(Nc3cc4c(ccn4C4CCCC4)cn3)n2)CC1,7.4,4,5.37;5.75;6.84;10.24,pkasolver
3SC,c1cc(c(c(c1)Cl)Cl)c2cc(n3c(n2)c(cn3)SC#N)NCc4ccncc4,N#CSc1cnn2c(NCc3ccncc3)cc(-c3cccc(Cl)c3Cl)nc12,7.4,5,3.06;3.26;4.04;5.38;8.93,pkasolver
3TI,c1ccc2c(c1)ccc(c2/C=N/c3ccc(cc3)O)O,Oc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1,7.4,2,8.41;9.27,pkasolver
3Z7,COc1cc(ccc1O)Br,COc1cc(Br)ccc1O,7.4,1,9.04,pkasolver
404,CC[C@H](CO)Nc1nc2c(c(n1)NCc3ccccc3)[nH]nc2C(C)C,CC[C@H](CO)[NH2+]c1nc(NCc2ccccc2)c2[nH]nc(C(C)C)c2n1,7.4,7,4.52;5.25;5.92;5.94;8.12;9.02;9.48,pkasolver
42K,c1cc(ccc1N/N=C\2/c3c(ccc4c3nn[nH]4)NC2=O)S(=O)(=O)N,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4[nH]nnc4c32)cc1,7.4,9,5.50;6.60;6.67;6.87;7.01;8.36;8.46;9.82;10.55,pkasolver
45K,c1cc2c(cc1N/C=C\3/c4c(ccc5c4scn5)NC3=O)CS(=O)(=O)C2,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2,7.4,4,3.61;4.31;4.85;9.01,pkasolver
46K,CC(=O)NS(=O)(=O)c1ccc(cc1)N/C=C\2/c3c(ccc4c3scn4)NC2=O,CC(=O)[N-]S(=O)(=O)c1ccc([NH2+]/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,7.4,5,3.48;4.00;4.85;7.36;9.19,pkasolver
48K,CN(C)CCNS(=O)(=O)c1ccc(cc1)N/C=C\2/c3ccccc3NC2=O,C[NH+](C)CCNS(=O)(=O)c1ccc([NH2+]/C=C2\C(=O)Nc3ccccc32)cc1,7.4,6,5.18;5.95;6.63;8.42;9.71;10.43,pkasolver
4CK,c1cc(ccc1C(=O)Nc2cc([nH]n2)C3CC3)C(=O)O,O=C([O-])c1ccc(C(=O)[N-]c2cc(C3CC3)[n-]n2)cc1,7.4,6,3.39;4.15;4.16;4.30;5.11;6.42,pkasolver
4QE,Cc1ccccc1c2[nH]c3c(n2)c(nc(n3)N)OCC4CCCCC4,Cc1ccccc1-c1nc2c(OCC3CCCCC3)nc(N)nc2[nH]1,7.4,6,3.93;4.32;6.10;6.30;9.39;9.77,pkasolver
50Z,C=CCNc1nc(c(s1)C(=O)c2ccccn2)N,C=CCNc1nc(N)c(C(=O)c2ccccn2)s1,7.4,5,3.38;3.82;4.75;9.05;9.44,pkasolver
514,CC(=O)[N+]1=CC\2=C(C1)N=N/C2=N/C(=O)c3ccccc3,CC(=O)[N+]1=CC2=C(C1)N=N/C2=N/C(=O)c1ccccc1,7.4,1,3.01,pkasolver
529,C[C@@H](c1ccc(cc1)N2CCNC2=O)C(=O)/N=C/3\C=C(N=N3)C4CC4,C[C@H](C(=O)/N=C1\C=C(C2CC2)N=N1)c1ccc(N2CCNC2=O)cc1,7.4,4,4.29;6.25;7.02;10.08,pkasolver
55S,CCS(=O)(=O)c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3,CCS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,7.4,6,3.62;3.63;4.16;5.13;8.75;9.66,pkasolver
56H,CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CC[NH2+]CC3)s2)o1,7.4,5,3.89;4.50;6.23;8.30;8.77,pkasolver
56Z,COc1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,COc1ccc(C(=O)c2sc(Nc3ccc(S(N)(=O)=O)cc3)nc2N)cc1,7.4,6,3.24;3.69;7.37;9.30;9.50;9.94,pkasolver
5BN,c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)NCCN,[NH3+]CCNc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,7.4,7,5.63;6.56;7.30;9.46;9.88;10.62;11.45,pkasolver
5BP,c1cc2c(cnn2nc1)c3ccnc(n3)NC4CC4,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,7.4,3,2.62;3.35;4.86,pkasolver
5JE,c1ccc2c(c1)[nH]c(n2)n3ccnc3,c1ccc2[nH]c(-n3ccnc3)nc2c1,7.4,3,3.63;5.45;8.88,pkasolver
5SC,Cc1ccccc1c2cc(n3c(n2)c(cn3)Br)NCc4ccc[n+](c4)[O-],Cc1ccccc1-c1cc(NCc2ccc[n+]([O-])c2)n2ncc(Br)c2n1,7.4,5,2.81;2.96;3.63;4.37;8.94,pkasolver
61K,c1cc(ccc1N/N=C\2/c3cc(ccc3NC2=O)C(=O)NCCc4c[nH]cn4)S(=O)(=O)N,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCCc4c[nH]c[nH+]4)cc32)cc1,7.4,11,3.80;3.95;4.26;6.50;6.86;7.67;8.48;8.88;9.46;9.98;10.73,pkasolver
