family,ligand_id,x,y,z,dx,dy,dz
Acceptor,Z1993819341,-3.09,-2.775,-0.234,-0.376,-0.91,-0.172
Acceptor,Z1993819341,6.325,0.981,-0.696,0.492,0.768,-0.409
Acceptor,Z1993819341,5.208,3.233,-1.411,0.97,-0.211,-0.123
PosIonizable,Z1993819341,-0.438,-0.34,0.911,,,
Aromatic,Z1993819341,3.58,1.254,-0.325,0.155,0.381,0.912
LumpedHydrophobe,Z1993819341,3.58,1.254,-0.325,,,
Donor,Z56801208,5.675,2.438,-0.95,0.74,-0.26,-0.621
Donor,Z56801208,1.127,2.601,3.324,-0.792,-0.299,-0.532
Donor,Z56801208,-3.355,-3.109,-0.737,0.927,0.324,0.188
Acceptor,Z56801208,3.752,2.916,4.327,0.132,0.307,0.943
Acceptor,Z56801208,5.675,2.438,-0.95,-0.025,0.642,-0.766
Acceptor,Z56801208,3.319,1.601,0.533,-0.09,-0.362,-0.928
Acceptor,Z56801208,1.127,2.601,3.324,-0.81,0.201,0.552
Acceptor,Z56801208,-3.355,-3.109,-0.737,0.595,-0.729,-0.339
PosIonizable,Z56801208,-0.259,1.261,1.367,,,
PosIonizable,Z56801208,-2.173,-1.044,0.762,,,
Donor,FCG2946094125,-0.546,-2.517,0.311,0.255,-0.257,0.932
Donor,FCG2946094125,-3.2,-3.081,-0.219,0.872,-0.412,-0.264
Acceptor,FCG2946094125,5.643,3.262,-0.711,0.764,-0.429,-0.482
Acceptor,FCG2946094125,5.661,0.777,-1.528,0.779,0.621,-0.081
Acceptor,FCG2946094125,-0.546,-2.517,0.311,0.672,-0.738,-0.056
Acceptor,FCG2946094125,-3.2,-3.081,-0.219,-0.221,-0.7,-0.679
PosIonizable,FCG2946094125,-0.055,0.585,0.887,,,
Aromatic,FCG2946094125,3.435,1.676,-0.129,-0.429,0.284,-0.857
LumpedHydrophobe,FCG2946094125,3.435,1.676,-0.129,,,
Donor,MCULE-1995617555,5.722,3.01,-1.556,0.796,0.219,-0.565
Acceptor,MCULE-1995617555,2.67,5.679,-2.45,-0.738,0.639,-0.218
Acceptor,MCULE-1995617555,-2.914,-2.97,-0.546,-0.352,-0.863,-0.361
Acceptor,MCULE-1995617555,5.722,3.01,-1.556,0.74,-0.641,0.203
PosIonizable,MCULE-1995617555,-1.948,-0.369,0.541,,,
Aromatic,MCULE-1995617555,3.692,4.779,-2.139,0.289,0.588,0.755
Aromatic,MCULE-1995617555,2.838,1.61,0.656,0.605,-0.627,-0.49
LumpedHydrophobe,MCULE-1995617555,2.838,1.61,0.656,,,
Donor,MCULE-6364997021,-2.453,-0.487,-0.345,-0.699,-0.573,-0.427
Donor,MCULE-6364997021,-3.164,-3.152,-0.119,0.66,-0.543,-0.519
Acceptor,MCULE-6364997021,5.448,3.364,-1.161,0.898,-0.393,-0.197
Acceptor,MCULE-6364997021,6.026,0.824,-0.942,0.633,0.693,-0.344
Acceptor,MCULE-6364997021,-2.453,-0.487,-0.345,-0.604,0.627,-0.492
Acceptor,MCULE-6364997021,-3.164,-3.152,-0.119,-0.497,-0.448,-0.743
PosIonizable,MCULE-6364997021,0.22,0.324,1.116,,,
Aromatic,MCULE-6364997021,3.432,1.628,-0.357,0.257,0.147,0.955
LumpedHydrophobe,MCULE-6364997021,3.432,1.628,-0.357,,,
Donor,MCULE-6774338267,-0.624,-2.544,0.452,0.689,-0.192,-0.699
Donor,MCULE-6774338267,-2.989,-2.863,-0.927,0.489,-0.549,0.678
Acceptor,MCULE-6774338267,-0.624,-2.544,0.452,0.499,-0.817,0.288
Acceptor,MCULE-6774338267,-2.989,-2.863,-0.927,-0.593,-0.78,0.202
Acceptor,MCULE-6774338267,2.502,3.47,-0.92,-0.848,-0.002,-0.529
Acceptor,MCULE-6774338267,5.183,2.881,-1.636,0.556,0.732,0.393
Acceptor,MCULE-6774338267,6.351,0.611,-0.817,0.427,0.627,-0.652
PosIonizable,MCULE-6774338267,0.086,0.54,0.939,,,
Aromatic,MCULE-6774338267,3.7,1.097,-0.122,-0.299,-0.449,-0.842
LumpedHydrophobe,MCULE-6774338267,3.7,1.097,-0.122,,,
Donor,OSSK_467174,5.586,2.916,-1.188,0.895,-0.39,-0.215
Acceptor,OSSK_467174,2.507,-0.699,-1.012,0.419,-0.336,-0.844
Acceptor,OSSK_467174,1.148,-2.437,-1.078,-0.295,-0.834,-0.467
Acceptor,OSSK_467174,5.586,2.916,-1.188,0.754,0.499,-0.427
PosIonizable,OSSK_467174,-2.161,-0.469,0.451,,,
Aromatic,OSSK_467174,3.478,1.544,0.026,0.655,-0.531,0.537
LumpedHydrophobe,OSSK_467174,3.478,1.544,0.026,,,
Donor,MCULE-7309126653,-2.934,-0.139,0.401,-0.582,-0.631,-0.513
Donor,MCULE-7309126653,-2.586,-2.835,-0.268,0.393,-0.685,-0.613
Acceptor,MCULE-7309126653,-2.934,-0.139,0.401,-0.606,0.59,-0.534
Acceptor,MCULE-7309126653,-2.586,-2.835,-0.268,-0.762,-0.539,-0.359
Acceptor,MCULE-7309126653,5.911,0.387,-0.595,0.617,0.416,-0.668
Acceptor,MCULE-7309126653,5.342,2.798,-1.678,0.479,0.752,0.452
PosIonizable,MCULE-7309126653,0.036,0.618,1.275,,,
Aromatic,MCULE-7309126653,3.313,1.375,-0.429,-0.233,-0.447,-0.864
LumpedHydrophobe,MCULE-7309126653,3.313,1.375,-0.429,,,
Donor,MCULE-6052560004,-0.704,-2.079,0.77,,,
Acceptor,MCULE-6052560004,-0.191,1.278,1.162,-0.97,-0.095,-0.224
Acceptor,MCULE-6052560004,-2.373,-3.408,-0.087,-0.692,-0.155,-0.705
Acceptor,MCULE-6052560004,5.633,3.223,-0.833,0.718,-0.539,-0.44
Acceptor,MCULE-6052560004,5.43,0.679,-1.395,0.82,0.549,-0.161
PosIonizable,MCULE-6052560004,-1.668,-3.792,3.219,,,
Aromatic,MCULE-6052560004,3.297,1.9,-0.099,-0.408,0.235,-0.882
LumpedHydrophobe,MCULE-6052560004,3.297,1.9,-0.099,,,
Donor,MCULE-8409240289,0.432,0.31,1.658,,,
Donor,MCULE-8409240289,1.325,3.913,1.857,-0.902,0.393,0.18
Acceptor,MCULE-8409240289,1.325,3.913,1.857,0.145,0.88,0.452
Acceptor,MCULE-8409240289,-0.472,-1.796,1.693,0.084,-0.971,-0.222
Acceptor,MCULE-8409240289,5.971,0.779,-1.119,0.631,0.696,-0.343
Acceptor,MCULE-8409240289,5.519,3.354,-1.033,0.772,-0.415,-0.481
Aromatic,MCULE-8409240289,3.602,1.653,0.045,-0.456,-0.048,-0.889
