het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
Q82,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=NC#N)N2Cc3ccc(cc3)CO)Cc4ccc(cc4)CO)Cc5ccccc5)O)O,N#CN=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(CO)cc1,7.4,4,6.82;9.10;9.29;9.53,,pkasolver
QID,c1ccc(cc1)S(=O)(=O)c2ccc3c(c2)C(=O)N(C(=O)N3)O,O=c1[nH]c2ccc(S(=O)(=O)c3ccccc3)cc2c(=O)n1[O-],7.4,3,4.91;5.74;9.20,,pkasolver
R8D,c1cc2c(n[nH]c2nc1)COc3ccc(c(c3)Oc4cc(cc(c4)Cl)C#N)Cl,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4ncccc34)ccc2Cl)c1,7.4,3,3.69;4.61;9.16,,pkasolver
RT3,Cc1ccc2c(c1)CCCN2C(=O)SCC(=O)Nc3ccc(cc3Cl)S(=O)(=O)N,Cc1ccc2c(c1)CCCN2C(=O)SCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl,7.4,5,3.63;4.42;7.02;8.89;9.44,,pkasolver
RT7,c1cc(c(cc1S(=O)(=O)N)Cl)NC(=O)CSC(=O)N2CCCc3c2c(cc(c3)Cl)Cl,NS(=O)(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1,7.4,5,3.62;4.37;6.71;8.55;9.07,,pkasolver
S11,CC(C)c1c(n(c(n1)COC(=O)N)Cc2ccncc2)Sc3cc(cc(c3)Cl)Cl,CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1,7.4,4,3.93;4.79;5.06;6.94,amide:1,pkasolver+weak_acid_guard
SBN,Cc1cc(cc(c1)S(=O)(=O)c2cccc(c2C#N)N)C,Cc1cc(C)cc(S(=O)(=O)c2cccc(N)c2C#N)c1,7.4,2,2.88;9.15,,pkasolver
SPP,CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3cc4cc(ccc4[nH]3)NS(=O)(=O)C,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,7.4,7,4.02;4.31;4.74;5.48;6.18;8.71;10.27,,pkasolver
SRT,[C@H]([C@H](C(=O)O)O)(C(=O)O)O,O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-],7.4,4,3.20;3.85;9.12;10.17,,pkasolver
TB9,C[C@H]1CN2c3c(cc(cc3NC2=S)Cl)CN1CC=C(C)C,CC(C)=CC[NH+]1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C[C@@H]1C,7.4,3,5.87;7.68;9.11,,pkasolver
TNV,C[C@H](Cn1cnc2c1ncnc2N)OC[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O,C[C@H](Cn1cnc2c(N)ncnc21)OC[P@](=O)(O)O[P@](=O)(O)OP(=O)([O-])[O-],7.4,6,2.84;3.05;3.18;3.44;3.74;4.58,aryl_amine:1,pkasolver+weak_acid_guard
TT1,c1ccc(cc1)Cn2c(nnc2SCc3ccccc3Cl)c4cccs4,Clc1ccccc1CSc1nnc(-c2cccs2)n1Cc1ccccc1,7.4,2,3.52;4.18,,pkasolver
TTP,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O,Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[n-]c1=O,7.4,4,3.57;4.34;4.90;5.65,alcohol:1,pkasolver+weak_acid_guard
UC2,Cc1c(cco1)C(=S)Nc2ccc(c(c2)\C=N\OC(C)(C)C)Cl,Cc1occc1C(=S)Nc1ccc(Cl)c(/C=N/OC(C)(C)C)c1,7.4,2,4.55;9.75,,pkasolver
UC3,CC(C)OC(=O)c1cc(ccc1Cl)NC(=S)OC(C)C,CC(C)OC(=O)c1cc(NC(=S)OC(C)C)ccc1Cl,7.4,2,3.92;10.00,,pkasolver
