het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
L84,c1cc(ccc1C2=C([C@H]3[C@@H](C[C@@H]2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)OCCCN5CCCCC5)c6ccc(cc6)O)O,O=S(=O)([C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1)N(CC(F)(F)F)c1ccc(OCCC[NH+]2CCCCC2)cc1,7.4,4,4.06;8.25;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
LLB,CC1CCN(CC1)CCOc2ccc(cc2)C(=O)c3c4ccc(cc4sc3c5ccc(cc5)O)O,CC1CC[NH+](CCOc2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,7.4,3,7.94;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
LLC,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCC5)O,O=C(c1ccc(OCC[NH+]2CCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,7.4,3,7.70;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
LRQ,CC(C)(CN1[C@@H]2CCC[C@]1(c3c(c4ccccc4[nH]3)C2)c5c(cc(cc5F)/C=C/C(=O)O)F)F,CC(C)(F)CN1[C@@H]2CCC[C@@]1(c1c(F)cc(/C=C/C(=O)[O-])cc1F)c1[nH]c3ccccc3c1C2,7.4,4,4.21;5.01;6.33;8.78,,pkasolver
LVH,C[C@@H]1Cc2c3ccccc3[nH]c2[C@@](N1CC(C)(C)F)(C)c4c(cc(cc4F)/C=C/C(=O)O)F,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@](C)(c2c(F)cc(/C=C/C(=O)[O-])cc2F)N1CC(C)(C)F,7.4,4,3.97;4.64;5.98;8.58,,pkasolver
LYQ,c1cc(c(cc1O)Cl)[C@@H]2[C@@H]3CCC[C@@H]3c4cc(ccc4N2)S(=O)(=O)N,NS(=O)(=O)c1ccc2c(c1)[C@H]1CCC[C@H]1[C@@H](c1ccc(O)cc1Cl)N2,7.4,4,6.61;7.22;8.66;10.00,phenol:1,pkasolver+weak_acid_guard
M79,CC(C)(C(=O)N1CCC(CC1)CNC(=O)CCl)Nc2ccccc2,CC(C)(Nc1ccccc1)C(=O)N1CCC(CNC(=O)CCl)CC1,7.4,5,4.41;7.36;7.77;9.19;10.43,,pkasolver
MRF,c1cc(ccc1OC2(CCNCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Oc3ccc(Cl)cc3)CC[NH2+]CC2)CC1,7.4,4,6.94;7.47;8.53;8.97,,pkasolver
MU9,c1cc(ccc1NC2(CCC(CC2)(F)F)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CCC(F)(F)CC2)CC1,7.4,5,4.11;6.98;7.69;9.04;9.94,,pkasolver
MV3,c1cc(ccc1NC2(CCCCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CCCCC2)CC1,7.4,5,4.36;7.08;7.64;8.97;10.20,,pkasolver
