family,ligand_id,x,y,z,dx,dy,dz
Acceptor,OSSL_457771,0.366,-1.083,1.833,-0.513,-0.817,0.264
PosIonizable,OSSL_457771,-4.03,-1.108,6.477,,,
PosIonizable,OSSL_457771,-4.248,0.221,3.966,,,
Aromatic,OSSL_457771,-6.087,-0.476,-1.172,-0.659,-0.449,0.603
Aromatic,OSSL_457771,-2.263,1.795,0.709,-0.061,0.209,0.976
LumpedHydrophobe,OSSL_457771,-6.087,-0.476,-1.172,,,
LumpedHydrophobe,OSSL_457771,-2.263,1.795,0.709,,,
Donor,Z30763274,1.281,1.061,1.181,-0.162,0.964,-0.211
Acceptor,Z30763274,0.275,-0.892,1.921,0.056,-0.925,0.375
Acceptor,Z30763274,4.203,-3.304,1.338,-0.7,-0.667,-0.254
Acceptor,Z30763274,6.503,-2.318,1.039,0.888,0.014,-0.46
Acceptor,Z30763274,5.18,-4.448,5.605,-0.106,-0.627,0.771
PosIonizable,Z30763274,4.196,5.875,1.508,,,
Aromatic,Z30763274,4.032,0.583,1.42,0.077,-0.098,-0.992
LumpedHydrophobe,Z30763274,-2.487,0.897,0.531,,,
LumpedHydrophobe,Z30763274,4.032,0.583,1.42,,,
Donor,V014-8990,0.538,1.493,1.802,0.029,-0.863,-0.504
Acceptor,V014-8990,-8.101,-2.194,-3.169,-0.896,-0.106,-0.43
Acceptor,V014-8990,-6.148,-3.102,-2.385,0.894,0.162,0.417
Acceptor,V014-8990,-5.263,-0.594,-1.664,0.694,-0.709,0.127
Acceptor,V014-8990,-0.713,3.26,2.538,-0.081,0.823,0.562
Acceptor,V014-8990,4.211,-3.084,-0.73,0.269,-0.752,0.602
Acceptor,V014-8990,4.618,-2.829,1.841,0.125,-0.852,-0.508
Aromatic,V014-8990,-6.06,0.258,-1.874,0.43,0.136,-0.893
Aromatic,V014-8990,-2.915,1.46,0.245,-0.372,-0.509,0.776
Aromatic,V014-8990,3.618,-0.642,0.453,-0.932,-0.316,0.179
LumpedHydrophobe,V014-8990,-2.915,1.46,0.245,,,
LumpedHydrophobe,V014-8990,3.618,-0.642,0.453,,,
Donor,4109-2018,-5.909,-4.073,-8.635,0.739,0.62,0.263
Donor,4109-2018,-4.665,2.234,-2.071,0.539,0.351,-0.766
Donor,4109-2018,1.335,0.917,1.228,-0.362,0.909,-0.205
Acceptor,4109-2018,-5.216,-4.966,-6.396,0.825,-0.093,0.557
Acceptor,4109-2018,-7.243,-5.972,-7.506,-0.576,-0.79,-0.21
Acceptor,4109-2018,-5.875,0.029,-4.656,0.196,-0.164,-0.967
Acceptor,4109-2018,-5.191,0.987,-3.971,0.691,0.553,-0.466
Acceptor,4109-2018,-0.994,2.06,2.151,0.333,0.9,0.28
Acceptor,4109-2018,0.692,-1.108,2.107,0.13,-0.988,0.085
Aromatic,4109-2018,-8.149,-2.523,-5.857,-0.233,-0.621,0.748
Aromatic,4109-2018,-6.144,0.241,-3.325,0.694,-0.676,0.246
Aromatic,4109-2018,-7.411,-0.305,-1.295,0.706,-0.655,0.269
Aromatic,4109-2018,-2.83,2.037,0.076,0.748,0.081,-0.659
LumpedHydrophobe,4109-2018,-8.149,-2.523,-5.857,,,
LumpedHydrophobe,4109-2018,-7.411,-0.305,-1.295,,,
LumpedHydrophobe,4109-2018,-2.83,2.037,0.076,,,
LumpedHydrophobe,4109-2018,-5.498,-4.899,-9.813,,,
Donor,STK195231,1.463,0.945,2.194,-0.189,0.982,0.03
Donor,STK195231,4.101,5.83,1.55,,,
Acceptor,STK195231,-1.19,1.829,1.91,0.197,0.968,0.156
Acceptor,STK195231,0.526,-1.145,2.612,0.066,-0.995,0.073
Acceptor,STK195231,6.251,-2.375,0.394,0.927,-0.152,-0.342
Acceptor,STK195231,4.208,-3.155,1.085,-0.907,0.239,0.347
Acceptor,STK195231,5.115,7.466,0.271,0.297,0.343,-0.891
Aromatic,STK195231,-2.466,1.183,-0.475,-0.875,-0.022,0.484
Aromatic,STK195231,4.088,0.464,1.329,0.316,-0.058,0.947
Aromatic,STK195231,5.333,8.642,3.665,0.531,0.628,-0.568
LumpedHydrophobe,STK195231,-2.466,1.183,-0.475,,,
LumpedHydrophobe,STK195231,4.088,0.464,1.329,,,
LumpedHydrophobe,STK195231,5.333,8.642,3.665,,,
LumpedHydrophobe,STK195231,-3.899,0.663,-3.023,,,
Donor,Z30764334,1.326,1.153,0.968,-0.117,0.974,-0.193
Acceptor,Z30764334,4.1,-3.292,1.298,-0.686,-0.638,-0.351
Acceptor,Z30764334,6.45,-2.4,1.303,0.938,-0.021,-0.347
Acceptor,Z30764334,4.075,-4.907,4.765,-0.184,-0.567,0.803
Acceptor,Z30764334,0.208,-0.785,1.579,-0.009,-0.923,0.384
Acceptor,Z30764334,-4.687,2.672,-0.51,0.072,0.681,-0.729
PosIonizable,Z30764334,2.311,5.947,0.914,,,
Aromatic,Z30764334,4.042,0.588,1.382,0.124,-0.111,-0.986
Aromatic,Z30764334,-2.314,1.509,0.313,-0.11,-0.716,-0.689
LumpedHydrophobe,Z30764334,4.042,0.588,1.382,,,
LumpedHydrophobe,Z30764334,-2.314,1.509,0.313,,,
LumpedHydrophobe,Z30764334,-7.062,3.481,-0.977,,,
Donor,4119-0011,-0.053,0.193,-0.387,0.19,0.24,-0.952
Acceptor,4119-0011,-4.627,5.984,-5.611,-0.631,0.171,-0.757
Acceptor,4119-0011,-4.667,1.743,-3.878,-0.39,-0.257,-0.884
Acceptor,4119-0011,0.822,-1.011,1.392,-0.114,-0.459,0.881
PosIonizable,4119-0011,-3.409,4.389,-3.529,,,
Aromatic,4119-0011,-7.076,0.152,-1.376,-0.414,0.703,-0.579
Aromatic,4119-0011,-2.666,0.833,0.48,0.291,0.952,0.097
LumpedHydrophobe,4119-0011,-7.076,0.152,-1.376,,,
LumpedHydrophobe,4119-0011,-2.666,0.833,0.48,,,
Donor,Z6943423772,1.301,0.514,1.899,,,
Acceptor,Z6943423772,-5.513,-3.054,-3.96,-0.064,0.518,-0.853
Acceptor,Z6943423772,-5.55,1.938,-3.945,-0.519,-0.303,-0.799
Acceptor,Z6943423772,-4.601,3.262,-2.351,0.284,0.808,0.516
Acceptor,Z6943423772,-5.807,6.049,-5.804,-0.886,0.337,0.319
Acceptor,Z6943423772,2.944,-1.082,2.131,0.263,-0.949,0.174
Acceptor,Z6943423772,3.503,1.086,1.681,-0.398,0.903,-0.159
Aromatic,Z6943423772,-4.931,2.32,-2.984,0.817,0.107,-0.567
Aromatic,Z6943423772,-5.415,-3.785,-2.774,0.983,0.18,0.026
Aromatic,Z6943423772,-2.686,1.082,0.104,-0.191,0.837,0.513
LumpedHydrophobe,Z6943423772,-2.686,1.082,0.104,,,
LumpedHydrophobe,Z6943423772,4.933,0.844,1.663,,,
LumpedHydrophobe,Z6943423772,-5.292,6.891,-7.339,,,
