family,ligand_id,x,y,z,dx,dy,dz
Aromatic,OSSL_301336,2.849,0.888,0.325,0.029,0.857,-0.515
Aromatic,OSSL_301336,-1.425,-1.458,0.534,-0.651,0.299,0.697
LumpedHydrophobe,OSSL_301336,2.849,0.888,0.325,,,
LumpedHydrophobe,OSSL_301336,-1.425,-1.458,0.534,,,
Donor,STL564635,5.734,0.847,-0.136,0.501,-0.067,0.863
Acceptor,STL564635,-0.056,-0.87,1.816,-0.022,0.177,0.984
Acceptor,STL564635,5.734,0.847,-0.136,0.975,0.118,-0.191
Aromatic,STL564635,3.04,0.528,0.342,-0.097,0.987,0.129
LumpedHydrophobe,STL564635,3.04,0.528,0.342,,,
Donor,Z5020307425,5.664,0.661,-0.065,0.468,0.403,0.786
Acceptor,Z5020307425,5.664,0.661,-0.065,0.985,0.003,-0.174
Aromatic,Z5020307425,-1.322,0.525,0.868,-0.089,-0.224,-0.97
Aromatic,Z5020307425,2.945,0.631,0.371,0.077,-0.905,0.418
LumpedHydrophobe,Z5020307425,-1.322,0.525,0.868,,,
LumpedHydrophobe,Z5020307425,2.945,0.631,0.371,,,
Donor,R035-0073,-3.138,-3.215,-0.024,0.367,-0.673,0.642
Donor,R035-0073,5.481,0.493,-0.032,0.489,0.372,0.789
Acceptor,R035-0073,-3.138,-3.215,-0.024,-0.527,-0.845,-0.089
Acceptor,R035-0073,5.481,0.493,-0.032,0.974,-0.204,-0.102
Aromatic,R035-0073,-1.691,-0.875,0.209,-0.645,0.333,0.688
Aromatic,R035-0073,2.79,1.05,0.241,0.13,0.867,-0.482
LumpedHydrophobe,R035-0073,-1.691,-0.875,0.209,,,
LumpedHydrophobe,R035-0073,2.79,1.05,0.241,,,
Donor,Z5020304953,5.665,0.661,-0.065,0.464,0.404,0.788
Acceptor,Z5020304953,5.665,0.661,-0.065,0.985,0.003,-0.175
Aromatic,Z5020304953,-3.349,-0.009,0.161,0.144,0.027,0.989
Aromatic,Z5020304953,0.707,0.073,-0.415,0.076,-0.903,0.423
Aromatic,Z5020304953,2.947,0.631,0.372,-0.077,0.904,-0.421
LumpedHydrophobe,Z5020304953,0.707,0.073,-0.415,,,
LumpedHydrophobe,Z5020304953,2.947,0.631,0.372,,,
LumpedHydrophobe,Z5020304953,-3.349,-0.009,0.161,,,
Donor,STK803083,-3.319,-3.608,0.345,-0.661,0.014,-0.75
Donor,STK803083,0.252,-1.045,2.127,-0.129,-0.68,0.722
Donor,STK803083,1.732,3.162,0.485,-0.973,-0.096,-0.209
Donor,STK803083,5.727,0.615,0.184,0.365,0.905,0.218
Acceptor,STK803083,-3.319,-3.608,0.345,-0.6,-0.796,0.081
Acceptor,STK803083,0.252,-1.045,2.127,0.679,0.148,0.72
Acceptor,STK803083,-0.442,1.942,-0.233,-0.431,0.889,-0.155
Acceptor,STK803083,1.732,3.162,0.485,-0.425,0.894,0.144
Acceptor,STK803083,5.727,0.615,0.184,0.997,-0.062,0.037
Aromatic,STK803083,-1.65,-1.434,0.161,-0.642,0.543,0.541
Aromatic,STK803083,2.98,0.736,0.071,0.046,0.208,-0.977
LumpedHydrophobe,STK803083,-1.65,-1.434,0.161,,,
LumpedHydrophobe,STK803083,2.98,0.736,0.071,,,
Donor,STK025759,5.667,0.66,-0.066,0.46,0.405,0.79
Acceptor,STK025759,5.667,0.66,-0.066,0.985,0.003,-0.175
Aromatic,STK025759,2.946,0.632,0.373,0.077,-0.905,0.418
LumpedHydrophobe,STK025759,2.946,0.632,0.373,,,
LumpedHydrophobe,STK025759,-0.904,-0.025,-0.166,,,
Donor,0417-1650,5.667,0.66,-0.067,0.46,0.405,0.79
Acceptor,0417-1650,5.667,0.66,-0.067,0.985,0.003,-0.175
Aromatic,0417-1650,2.945,0.631,0.373,-0.077,0.905,-0.419
LumpedHydrophobe,0417-1650,2.945,0.631,0.373,,,
LumpedHydrophobe,0417-1650,-1.404,1.02,0.508,,,
LumpedHydrophobe,0417-1650,-1.304,-0.119,1.041,,,
LumpedHydrophobe,0417-1650,-1.145,0.919,1.733,,,
LumpedHydrophobe,0417-1650,-2.297,0.617,1.303,,,
Donor,OSSL_302895,5.667,0.66,-0.067,0.46,0.405,0.79
Acceptor,OSSL_302895,5.667,0.66,-0.067,0.985,0.003,-0.175
Aromatic,OSSL_302895,2.945,0.631,0.373,-0.077,0.905,-0.419
LumpedHydrophobe,OSSL_302895,2.945,0.631,0.373,,,
LumpedHydrophobe,OSSL_302895,-1.404,1.02,0.508,,,
LumpedHydrophobe,OSSL_302895,-1.304,-0.119,1.041,,,
LumpedHydrophobe,OSSL_302895,-1.145,0.919,1.733,,,
LumpedHydrophobe,OSSL_302895,-2.297,0.617,1.303,,,
Donor,OSSL_331145,5.822,0.602,0.081,0.331,0.942,0.046
Donor,OSSL_331145,1.932,2.843,1.628,-0.875,-0.226,0.429
Donor,OSSL_331145,-3.205,-3.561,-0.053,-0.612,-0.249,0.751
Acceptor,OSSL_331145,5.822,0.602,0.081,0.958,0.016,-0.287
Acceptor,OSSL_331145,1.932,2.843,1.628,-0.428,0.859,0.282
Acceptor,OSSL_331145,-0.016,1.284,2.394,-0.344,0.72,0.602
Acceptor,OSSL_331145,-3.205,-3.561,-0.053,-0.635,-0.702,-0.321
Aromatic,OSSL_331145,3.187,0.508,0.863,0.282,-0.14,0.949
