het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
IL5,c1cc2c(cc1S(=O)(=O)N)S(=O)(=O)NC2=O,NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC2=O,7.4,3,6.38;9.16;9.47,pkasolver
INL,COc1cccc(c1)N2C(=Cc3cc(sc3S2(=O)=O)S(=O)(=O)N)CN4CCOCC4,COc1cccc(N2C(C[NH+]3CCOCC3)=Cc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,7.4,4,3.02;7.34;7.38;9.39,pkasolver
INM,COCCC[N@]1C=C(c2cc(sc2S1(=O)=O)S(=O)(=O)N)N,COCCC[NH+]1C=C([NH3+])c2cc(S(N)(=O)=O)sc2S1(=O)=O,7.4,4,4.64;6.65;7.54;9.26,pkasolver
INQ,c1cc(cc(c1)O)N2C(=Cc3cc(sc3S2(=O)=O)S(=O)(=O)N)CN4CCOCC4,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)N(c1cccc(O)c1)C(CN1CCOCC1)=C2,7.4,5,3.34;7.31;7.34;9.01;9.43,pkasolver
INV,c1cc(ccc1CNC(=O)c2ccc(cc2)S(=O)(=O)N)F,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2)cc1,7.4,4,3.13;6.11;8.55;10.15,pkasolver
INW,c1cc(ccc1C(=O)NCc2ccc(cc2F)F)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2F)cc1,7.4,4,3.19;5.95;8.28;9.77,pkasolver
IO2,c1ccc(cc1)COc2ccc(cc2)CC(=O)O,O=C([O-])Cc1ccc(OCc2ccccc2)cc1,7.4,1,5.17,pkasolver
IOA,c1cc(ccc1C(=O)NCc2cc(ccc2F)F)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)NCc2cc(F)ccc2F)cc1,7.4,4,3.15;5.95;8.27;9.73,pkasolver
IOC,c1cc(ccc1C(=O)NCc2ccc(c(c2F)F)F)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1,7.4,4,3.33;5.89;8.21;9.66,pkasolver
IOE,c1cc(ccc1C(=O)NCc2c(cc(cc2F)F)F)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)NCc2c(F)cc(F)cc2F)cc1,7.4,4,3.14;5.62;7.66;9.13,pkasolver
