target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
esr1,R3V,"(5R,6S)-5-(4-{2-[(3S)-3-methylpyrrolidin-1-yl]ethoxy}phenyl)-6-phenyl-5,6,7,8-tetrahydronaphthalen-2-ol",no,7UJF,35575456,10.7554/eLife.72512,Stereospecific lasofoxifene derivatives reveal the interplay between estrogen receptor alpha stability and antagonistic activity in ESR1 mutant breast cancer cells.
esr1,RL4,"(5R,6S)-5-(4-{2-[(2R)-2-methylpyrrolidin-1-yl]ethoxy}phenyl)-6-phenyl-5,6,7,8-tetrahydronaphthalen-2-ol",no,7UJM,35575456,10.7554/eLife.72512,Stereospecific lasofoxifene derivatives reveal the interplay between estrogen receptor alpha stability and antagonistic activity in ESR1 mutant breast cancer cells.
esr1,TS7,"[(1'R)-6'-hydroxy-1'-{4-[(1-propylazetidin-3-yl)oxy]phenyl}-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DU8,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TTU,"[(1'R)-1'-(4-{[(3S)-1-ethylpyrrolidin-3-yl]oxy}phenyl)-6'-hydroxy-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DUB,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TU9,"[(1'R)-1'-(4-{[(3R)-1-ethylpyrrolidin-3-yl]methoxy}phenyl)-6'-hydroxy-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DUC,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TV3,"[(1'R)-6'-hydroxy-1'-(4-{[(3R)-1-propylpyrrolidin-3-yl]methoxy}phenyl)-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DUD,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TW6,"[(1'R)-6'-hydroxy-1'-{4-[2-(methylamino)ethoxy]phenyl}-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DUK,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TX9,"[(1'R)-6'-hydroxy-1'-(4-{[(3S)-1-pentylpyrrolidin-3-yl]methoxy}phenyl)-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DV5,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TXK,"[(1'R)-6'-hydroxy-1'-(4-{2-[(3R)-1-propylpyrrolidin-3-yl]ethyl}phenyl)-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl](phenyl)methanone",no,8DV7,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
esr1,TZ3,"{(1'R)-6'-hydroxy-1'-[4-({[(3S)-1-propylpyrrolidin-3-yl]methyl}sulfanyl)phenyl]-1',4'-dihydro-2'H-spiro[cyclopropane-1,3'-isoquinolin]-2'-yl}(phenyl)methanone",no,8DV8,36517522,10.1038/s41523-022-00497-9,Unconventional isoquinoline-based SERMs elicit fulvestrant-like transcriptional programs in ER+ breast cancer cells.
