target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
gr_nr3c1,LSJ,"N-{3-[(1Z)-1-(10-methoxydibenzo[b,e]oxepin-11(6H)-ylidene)propyl]phenyl}methanesulfonamide",yes,4LSJ,24446728,10.1021/jm401616g,"Glucocorticoid receptor modulators informed by crystallography lead to a new rationale for receptor selectivity, function, and implications for structure-based design."
gr_nr3c1,NN7,"N-[(2S)-1-[[1-(4-fluorophenyl)indazol-4-yl]amino]propan-2-yl]-2,4,6-trimethyl-benzenesulfonamide",yes,4CSJ,24755427,10.1016/J.BMCL.2014.03.070,"The Discovery of Potent and Selective Non-Steroidal Glucocorticoid Receptor Modulators, Suitable for Inhalation."
gr_nr3c1,QJK,5-[(2~{R})-3-(4-chlorophenyl)carbonyl-2-(4-nitrophenyl)-4-oxidanyl-5-oxidanylidene-2~{H}-pyrrol-1-yl]-2-oxidanyl-benzoic acid,yes,8A9G,36484727,10.1021/acs.jmedchem.2c01635,Designing Selective Drug-like Molecular Glues for the Glucocorticoid Receptor/14-3-3 Protein-Protein Interaction.
gr_nr3c1,R8C,"2,2,2-trifluoro-N-[(1R,2S)-1-{[1-(4-fluorophenyl)-1H-indazol-5-yl]oxy}-1-phenylpropan-2-yl]acetamide",yes,5G5W,27810243,10.1016/J.BMCL.2016.10.052,"Discovery of Indazole Ethers as Novel, Potent, Non-Steroidal Glucocorticoid Receptor Modulators."
nav1_7_pore,9Z9,"(3beta,14beta,17beta,25R)-3-[4-methoxy-3-(methoxymethyl)butoxy]spirost-5-en",no,7W9K,35476982,10.1016/j.celrep.2022.110735,High-resolution structures of human Na v 1.7 reveal gating modulation through alpha-pi helical transition of S6 IV.
nav1_7_pore,OJ0,Levobupivacaine,yes,8I5B,37270609,10.1038/s41467-023-38942-3,Structural mapping of Na v 1.7 antagonists.
nav1_7_vsd4,5P2,"3-cyano-4-[2-[2-(1-ethylazetidin-3-yl)pyrazol-3-yl]-4-(trifluoromethyl)phenoxy]-~{N}-(1,2,4-thiadiazol-5-yl)benzenesulfonamide",yes,5EK0,26680203,10.1126/science.aac5464,Structural basis of Nav1.7 inhibition by an isoform-selective small-molecule antagonist.
nav1_7_vsd4,X7L,"N-[6-(cyclopentylmethoxy)-1,3-benzothiazol-2-yl]-4-{[(1S,2S)-2-(dimethylamino)cyclohexyl]amino}-2-fluorobenzene-1-sulfonamide",no,8F0P,36975198,10.7554/eLife.84151,Cryo-EM reveals an unprecedented binding site for Na V 1.7 inhibitors enabling rational design of potent hybrid inhibitors.
nav1_7_vsd4,X7W,"5-chloro-4-({(1S,2S,4S)-2-(dimethylamino)-4-[3-(trifluoromethyl)phenyl]cyclohexyl}amino)-2-fluoro-N-(pyrimidin-4-yl)benzene-1-sulfonamide",yes,8F0R,36975198,10.7554/eLife.84151,Cryo-EM reveals an unprecedented binding site for Na V 1.7 inhibitors enabling rational design of potent hybrid inhibitors.
nav1_7_vsd4,X80,"5-chloro-4-(cyclopentylmethoxy)-N-(4-{[(1S,2S)-2-(dimethylamino)cyclohexyl]amino}-2-fluorobenzene-1-sulfonyl)-2-fluorobenzamide",no,8F0S,36975198,10.7554/eLife.84151,Cryo-EM reveals an unprecedented binding site for Na V 1.7 inhibitors enabling rational design of potent hybrid inhibitors.
