het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
V38,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)c3ccccc3)C[C@@H](c4ccccc4)O,C[N+]1(C[C@H](O)c2ccccc2)[C@@H]2CC[C@H]1CC(OC(=O)c1ccccc1)C2,7.4,1,9.15,,pkasolver
V63,c1ccc(cc1)C(=O)OC2C[C@H]3CC[C@@H](C2)N3,O=C(OC1C[C@H]2CC[C@@H](C1)[NH2+]2)c1ccccc1,7.4,1,9.41,,pkasolver
VU2,c1ccc(cc1)[C@@H](CN)OCc2ccc(cc2)Cl,[NH3+]C[C@@H](OCc1ccc(Cl)cc1)c1ccccc1,7.4,1,8.01,,pkasolver
WCW,c1ccc(cc1)N2CCC(CC2)(C(=O)O)N,NC1(C(=O)[O-])CCN(c2ccccc2)CC1,7.4,3,3.95;4.82;6.33,,pkasolver
WD2,c1cnc(cc1C(F)(F)F)N2CCNCC2,FC(F)(F)c1ccnc(N2CC[NH2+]CC2)c1,7.4,3,3.57;3.86;9.31,,pkasolver
WD5,c1cc(ccc1C2(CCNCC2)O)Cl,OC1(c2ccc(Cl)cc2)CC[NH2+]CC1,7.4,2,9.36;9.82,,pkasolver
WNO,CCN1CCN[C@H]1c2cccc(n2)c3ccccn3,CCN1CC[NH2+][C@H]1c1cccc(-c2ccccn2)n1,7.4,3,2.92;4.07;6.34,,pkasolver
WSP,CC1=NCCC[C@@]12CCCCC23OCCO3,CC1=NCCC[C@@]12CCCCC21OCCO1,7.4,0,,,pkasolver:no_ionizable
XRS,C[C@H](CCOc1nccn1C)N(C)C,C[C@H](CCOc1nccn1C)[NH+](C)C,7.4,2,5.72;9.11,,pkasolver
XRX,C[C@H](CCOC(=O)N(C)C)N(C)C,C[C@H](CCOC(=O)N(C)C)[NH+](C)C,7.4,2,6.35;8.96,,pkasolver
ZY5,COc1cc(ccc1\C=C\2/CCCN=C2c3cccnc3)O,COc1cc(O)ccc1/C=C1\CCCN=C1c1cccnc1,7.4,2,5.93;10.00,phenol@5:10.14->10.00,pkasolver+phenol_rule
ZY7,COc1ccc(c(c1)OC)\C=C\2/CCCN=C2c3cccnc3,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,7.4,1,5.53,,pkasolver
